NAME                                                     VERSION                            TYPE     
API                                                      1.0.0                              dotnet    
AutoMapper                                               12.0.1                             dotnet    
AutoMapper.Extensions.Microsoft.DependencyInjection      12.0.1                             dotnet    
BouncyCastle.Cryptography                                2.5.1                              dotnet    
Cronos                                                   0.11.0                             dotnet    
CsvHelper                                                33.1.0                             dotnet    
Docnet.Core                                              2.6.0                              dotnet    
DotNet.Glob                                              3.1.3                              dotnet    
EasyCaching.Core                                         1.9.2                              dotnet    
EasyCaching.InMemory                                     1.9.2                              dotnet    
ExCSS                                                    4.3.0                              dotnet    
Flurl                                                    4.0.0                              dotnet    
Flurl.Http                                               4.0.2                              dotnet    
Hangfire                                                 1.8.20                             dotnet    
Hangfire.AspNetCore                                      1.8.20                             dotnet    
Hangfire.Core                                            1.8.20                             dotnet    
Hangfire.InMemory                                        1.0.0                              dotnet    
Hangfire.MaximumConcurrentExecutions                     1.1.0                              dotnet    
Hangfire.NetCore                                         1.8.20                             dotnet    
Hangfire.SqlServer                                       1.8.20                             dotnet    
Hangfire.Storage.SQLite                                  0.4.2                              dotnet    
HtmlAgilityPack                                          1.12.2                             dotnet    
Kavita.Common                                            1.0.0                              dotnet    
MailKit                                                  4.13.0                             dotnet    
MarkdownDeep.NET.Core                                    1.5.0.4                            dotnet    
Microsoft.AspNetCore.Authentication.Abstractions         2.3.0                              dotnet    
Microsoft.AspNetCore.Authentication.JwtBearer            9.0.10                             dotnet    
Microsoft.AspNetCore.Authentication.OpenIdConnect        9.0.10                             dotnet    
Microsoft.AspNetCore.Authorization                       2.3.0                              dotnet    
Microsoft.AspNetCore.Authorization.Policy                2.3.0                              dotnet    
Microsoft.AspNetCore.Connections.Abstractions            2.3.0                              dotnet    
Microsoft.AspNetCore.Cryptography.Internal               9.0.10                             dotnet    
Microsoft.AspNetCore.Cryptography.KeyDerivation          9.0.10                             dotnet    
Microsoft.AspNetCore.Hosting.Abstractions                2.3.0                              dotnet    
Microsoft.AspNetCore.Hosting.Server.Abstractions         2.3.0                              dotnet    
Microsoft.AspNetCore.Http                                2.3.0                              dotnet    
Microsoft.AspNetCore.Http.Abstractions                   2.3.0                              dotnet    
Microsoft.AspNetCore.Http.Connections                    1.2.0                              dotnet    
Microsoft.AspNetCore.Http.Connections.Common             1.2.0                              dotnet    
Microsoft.AspNetCore.Http.Extensions                     2.3.0                              dotnet    
Microsoft.AspNetCore.Http.Features                       2.3.0                              dotnet    
Microsoft.AspNetCore.Identity.EntityFrameworkCore        9.0.10                             dotnet    
Microsoft.AspNetCore.Routing                             2.3.0                              dotnet    
Microsoft.AspNetCore.Routing.Abstractions                2.3.0                              dotnet    
Microsoft.AspNetCore.SignalR                             1.2.0                              dotnet    
Microsoft.AspNetCore.SignalR.Common                      1.2.0                              dotnet    
Microsoft.AspNetCore.SignalR.Core                        1.2.0                              dotnet    
Microsoft.AspNetCore.SignalR.Protocols.Json              1.2.0                              dotnet    
Microsoft.AspNetCore.WebSockets                          2.3.0                              dotnet    
Microsoft.AspNetCore.WebUtilities                        2.3.0                              dotnet    
Microsoft.CodeAnalysis.Workspaces.MSBuild                4.8.0                              dotnet    
Microsoft.Data.Sqlite.Core                               9.0.10                             dotnet    
Microsoft.EntityFrameworkCore                            9.0.10                             dotnet    
Microsoft.EntityFrameworkCore.Abstractions               9.0.10                             dotnet    
Microsoft.EntityFrameworkCore.Design                     9.0.10                             dotnet    
Microsoft.EntityFrameworkCore.Relational                 9.0.10                             dotnet    
Microsoft.EntityFrameworkCore.Sqlite                     9.0.10                             dotnet    
Microsoft.EntityFrameworkCore.Sqlite.Core                9.0.10                             dotnet    
Microsoft.Extensions.Caching.Abstractions                9.0.10                             dotnet    
Microsoft.Extensions.Caching.Memory                      9.0.10                             dotnet    
Microsoft.Extensions.Configuration                       9.0.10                             dotnet    
Microsoft.Extensions.Configuration.Abstractions          9.0.10                             dotnet    
Microsoft.Extensions.Configuration.Binder                9.0.10                             dotnet    
Microsoft.Extensions.Configuration.CommandLine           9.0.10                             dotnet    
Microsoft.Extensions.Configuration.EnvironmentVariables  9.0.10                             dotnet    
Microsoft.Extensions.Configuration.FileExtensions        9.0.10                             dotnet    
Microsoft.Extensions.Configuration.Json                  9.0.10                             dotnet    
Microsoft.Extensions.Configuration.UserSecrets           9.0.10                             dotnet    
Microsoft.Extensions.DependencyInjection                 9.0.10                             dotnet    
Microsoft.Extensions.DependencyInjection.Abstractions    9.0.10                             dotnet    
Microsoft.Extensions.DependencyModel                     9.0.10                             dotnet    
Microsoft.Extensions.Diagnostics                         9.0.10                             dotnet    
Microsoft.Extensions.Diagnostics.Abstractions            9.0.10                             dotnet    
Microsoft.Extensions.FileProviders.Abstractions          9.0.10                             dotnet    
Microsoft.Extensions.FileProviders.Physical              9.0.10                             dotnet    
Microsoft.Extensions.FileSystemGlobbing                  9.0.10                             dotnet    
Microsoft.Extensions.Hosting                             9.0.10                             dotnet    
Microsoft.Extensions.Hosting.Abstractions                9.0.10                             dotnet    
Microsoft.Extensions.Identity.Core                       9.0.10                             dotnet    
Microsoft.Extensions.Identity.Stores                     9.0.10                             dotnet    
Microsoft.Extensions.Logging                             9.0.10                             dotnet    
Microsoft.Extensions.Logging.Abstractions                9.0.10                             dotnet    
Microsoft.Extensions.Logging.Configuration               9.0.10                             dotnet    
Microsoft.Extensions.Logging.Console                     9.0.10                             dotnet    
Microsoft.Extensions.Logging.Debug                       9.0.10                             dotnet    
Microsoft.Extensions.Logging.EventLog                    9.0.10                             dotnet    
Microsoft.Extensions.Logging.EventSource                 9.0.10                             dotnet    
Microsoft.Extensions.Options                             9.0.10                             dotnet    
Microsoft.Extensions.Options.ConfigurationExtensions     9.0.10                             dotnet    
Microsoft.Extensions.Primitives                          9.0.10                             dotnet    
Microsoft.IO.RecyclableMemoryStream                      3.0.1                              dotnet    
Microsoft.IdentityModel.Abstractions                     8.13.0                             dotnet    
Microsoft.IdentityModel.JsonWebTokens                    8.13.0                             dotnet    
Microsoft.IdentityModel.Logging                          8.13.0                             dotnet    
Microsoft.IdentityModel.Protocols                        8.0.1                              dotnet    
Microsoft.IdentityModel.Protocols.OpenIdConnect          8.0.1                              dotnet    
Microsoft.IdentityModel.Tokens                           8.13.0                             dotnet    
Microsoft.Net.Http.Headers                               2.3.0                              dotnet    
Microsoft.OpenApi                                        1.6.23                             dotnet    
Microsoft.Win32.SystemEvents                             9.0.7                              dotnet    
MimeKit                                                  4.13.0                             dotnet    
MimeTypeMapOfficial                                      1.0.17                             dotnet    
Nager.ArticleNumber                                      1.0.7                              dotnet    
NetVips                                                  3.1.0                              dotnet    
NetVips.Native                                           8.17.1                             dotnet    
NetVips.Native.linux-x64                                 8.17.1                             dotnet    
Newtonsoft.Json                                          11.0.2                             dotnet    
Polly                                                    8.6.2                              dotnet    
Polly.Core                                               8.6.2                              dotnet    
SQLitePCLRaw.bundle_e_sqlite3                            2.1.10                             dotnet    
SQLitePCLRaw.bundle_green                                2.0.4                              dotnet    
SQLitePCLRaw.core                                        2.1.10                             dotnet    
SQLitePCLRaw.lib.e_sqlite3                               2.1.10                             dotnet    
SQLitePCLRaw.provider.dynamic_cdecl                      2.0.4                              dotnet    
SQLitePCLRaw.provider.e_sqlite3                          2.1.10                             dotnet    
Scrutor                                                  3.3.0                              dotnet    
Serilog                                                  4.3.0                              dotnet    
Serilog.AspNetCore                                       9.0.0                              dotnet    
Serilog.Enrichers.Thread                                 4.0.0                              dotnet    
Serilog.Extensions.Hosting                               9.0.0                              dotnet    
Serilog.Extensions.Logging                               9.0.0                              dotnet    
Serilog.Formatting.Compact                               3.0.0                              dotnet    
Serilog.Settings.Configuration                           9.0.0                              dotnet    
Serilog.Sinks.AspNetCore.SignalR                         0.4.0                              dotnet    
Serilog.Sinks.Console                                    6.0.0                              dotnet    
Serilog.Sinks.Debug                                      3.0.0                              dotnet    
Serilog.Sinks.File                                       7.0.0                              dotnet    
Serilog.Sinks.SignalR.Core                               0.1.2                              dotnet    
SharpCompress                                            0.40.0                             dotnet    
SixLabors.ImageSharp                                     3.1.11                             dotnet    
Swashbuckle.AspNetCore                                   9.0.3                              dotnet    
Swashbuckle.AspNetCore.Filters                           9.0.0                              dotnet    
Swashbuckle.AspNetCore.Filters.Abstractions              9.0.0                              dotnet    
Swashbuckle.AspNetCore.Swagger                           9.0.3                              dotnet    
Swashbuckle.AspNetCore.SwaggerGen                        9.0.3                              dotnet    
Swashbuckle.AspNetCore.SwaggerUI                         9.0.3                              dotnet    
System.Diagnostics.EventLog                              9.0.10                             dotnet    
System.Drawing.Common                                    9.0.7                              dotnet    
System.IO.Abstractions                                   22.0.15                            dotnet    
System.IdentityModel.Tokens.Jwt                          8.13.0                             dotnet    
System.Net.WebSockets.WebSocketProtocol                  5.1.0                              dotnet    
System.Text.Json                                         9.0.10                             dotnet    
TestableIO.System.IO.Abstractions                        22.0.15                            dotnet    
TestableIO.System.IO.Abstractions.Wrappers               22.0.15                            dotnet    
Testably.Abstractions.FileSystem.Interface               9.0.0                              dotnet    
VersOne.Epub                                             3.3.4                              dotnet    
YamlDotNet                                               16.3.0                             dotnet    
ZstdSharp.Port                                           0.8.5                              dotnet    
adduser                                                  3.137ubuntu1                       deb       
apt                                                      2.8.3                              deb       
apt-utils                                                2.8.3                              deb       
base-files                                               13ubuntu10.3                       deb       
base-passwd                                              3.6.3build1                        deb       
bash                                                     5.2.21-2ubuntu4                    deb       
bsdutils                                                 1:2.39.3-9ubuntu6.3                deb       
ca-certificates                                          20240203                           deb       
catatonit                                                0.1.7-1                            deb       
coreutils                                                9.4-3ubuntu6.1                     deb       
cron                                                     3.0pl1-184ubuntu2                  deb       
cron-daemon-common                                       3.0pl1-184ubuntu2                  deb       
curl                                                     8.5.0-2ubuntu10.6                  deb       
dash                                                     0.5.12-6ubuntu5                    deb       
debconf                                                  1.5.86ubuntu1                      deb       
debianutils                                              5.17build1                         deb       
diffutils                                                1:3.10-1build1                     deb       
dirmngr                                                  2.4.4-2ubuntu17.3                  deb       
dpkg                                                     1.22.6ubuntu6.5                    deb       
e2fsprogs                                                1.47.0-2.4~exp1ubuntu4.1           deb       
findutils                                                4.9.0-5build1                      deb       
gcc-14-base                                              14.2.0-4ubuntu2~24.04              deb       
gnupg                                                    2.4.4-2ubuntu17.3                  deb       
gnupg-l10n                                               2.4.4-2ubuntu17.3                  deb       
gnupg-utils                                              2.4.4-2ubuntu17.3                  deb       
gpg                                                      2.4.4-2ubuntu17.3                  deb       
gpg-agent                                                2.4.4-2ubuntu17.3                  deb       
gpg-wks-client                                           2.4.4-2ubuntu17.3                  deb       
gpgconf                                                  2.4.4-2ubuntu17.3                  deb       
gpgsm                                                    2.4.4-2ubuntu17.3                  deb       
gpgv                                                     2.4.4-2ubuntu17.3                  deb       
grep                                                     3.11-4build1                       deb       
gzip                                                     1.12-1ubuntu3.1                    deb       
hostname                                                 3.23+nmu2ubuntu2                   deb       
init-system-helpers                                      1.66ubuntu1                        deb       
jq                                                       1.7.1-3ubuntu0.24.04.1             deb       
keyboxd                                                  2.4.4-2ubuntu17.3                  deb       
krb5-locales                                             1.20.1-6ubuntu2.6                  deb       
libacl1                                                  2.3.2-1build1.1                    deb       
libapt-pkg6.0t64                                         2.8.3                              deb       
libassuan0                                               2.5.6-1build1                      deb       
libattr1                                                 1:2.5.2-1build1.1                  deb       
libaudit-common                                          1:3.1.2-2.1build1.1                deb       
libaudit1                                                1:3.1.2-2.1build1.1                deb       
libblkid1                                                2.39.3-9ubuntu6.3                  deb       
libbrotli1                                               1.1.0-2build2                      deb       
libbsd0                                                  0.12.1-1build1.1                   deb       
libbz2-1.0                                               1.0.8-5.1build0.1                  deb       
libc-bin                                                 2.39-0ubuntu8.6                    deb       
libc6                                                    2.39-0ubuntu8.6                    deb       
libcap-ng0                                               0.8.4-2build2                      deb       
libcap2                                                  1:2.66-5ubuntu2.2                  deb       
libcom-err2                                              1.47.0-2.4~exp1ubuntu4.1           deb       
libcrypt1                                                1:4.4.36-4build1                   deb       
libcurl4t64                                              8.5.0-2ubuntu10.6                  deb       
libdb5.3t64                                              5.3.28+dfsg2-7                     deb       
libdebconfclient0                                        0.271ubuntu3                       deb       
libext2fs2t64                                            1.47.0-2.4~exp1ubuntu4.1           deb       
libffi8                                                  3.4.6-1build1                      deb       
libgcc-s1                                                14.2.0-4ubuntu2~24.04              deb       
libgcrypt20                                              1.10.3-2build1                     deb       
libgmp10                                                 2:6.3.0+dfsg-2ubuntu6.1            deb       
libgnutls30t64                                           3.8.3-1.1ubuntu3.4                 deb       
libgpg-error0                                            1.47-3build2.1                     deb       
libgssapi-krb5-2                                         1.20.1-6ubuntu2.6                  deb       
